Umsatz (ohne Soll/Haben-Kz);Gegenkonto (ohne BU-Schlüssel);BU-Schlüssel;Buchungstext;Beleglink
;;;Kfz-Haftpflicht SF25 (30 %) Typkl. 18 Regio R9;ZUGFeRD_1p0_COMFORT_Sachversicherung_berechneter_Steuersatz.pdf
;;;Vollkasko SF25 (30 %) Typkl. 21 Regio R4;ZUGFeRD_1p0_COMFORT_Sachversicherung_berechneter_Steuersatz.pdf
;;;Verbundene Wohngebäudeversicherung;ZUGFeRD_1p0_COMFORT_Sachversicherung_berechneter_Steuersatz.pdf
;;;Beschreibung Artikel 2;R20140203-13.05.2014-Erika_Mustermann.pdf
;;;Beschreibung Artikel 1;R20140203-13.05.2014-Erika_Mustermann.pdf
;;;Beispielprodukt;RE-20140415_2.pdf
;;;Beispielprodukt;RE-20140419_3.pdf
;;;Position 1;zugferd_100.pdf
;;;Position 1;zugferd_100.pdf
;;;Position 1;zugferd_100.pdf
;;;"GTIN: 4012345001235
Unsere Art.-Nr.: TB100A4
Trennblätter A4";ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;"GTIN 4123456000014
Art-Nr-Lieferant ZS9997
Zitronensäure 100ml
Verpackung: Flasche
VKE/Geb: 1";ZUGFeRD_1p0_BASIC_Rechnungskorrektur.pdf
;;;"GTIN 4123456000021
Art-Nr-Lieferant GZ250
Gelierzucker Extra 250g
Verpackung: Karton
VKE/Geb: 1";ZUGFeRD_1p0_BASIC_Rechnungskorrektur.pdf
;;;Trennblätter A4;ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;Joghurt Banane;ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;Privathaftpflicht;ZUGFeRD_1p0_COMFORT_Haftpflichtversicherung_Versicherungssteuer.pdf
;;;Lebensgefährte/in zur Privathaftpflicht;ZUGFeRD_1p0_COMFORT_Haftpflichtversicherung_Versicherungssteuer.pdf
;;;Kfz-Haftpflicht SF25 (30 %) Typkl. 18 Regio R9;ZUGFeRD_1p0_COMFORT_Sachversicherung_berechneter_Steuersatz.pdf
;;;Vollkasko SF25 (30 %) Typkl. 21 Regio R4;ZUGFeRD_1p0_COMFORT_Sachversicherung_berechneter_Steuersatz.pdf
;;;Kunstrasen grün 3m breit;ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;Schweinesteak;ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;"Mineralwasser Medium 
12 x 1,0l PET";ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;Pfand;ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;Zitronensäure 100ml;ZUGFeRD_1p0_EXTENDED_Rechnungskorrektur.pdf
;;;Gelierzucker Extra 250g;ZUGFeRD_1p0_EXTENDED_Rechnungskorrektur.pdf
;;;Verbundene Wohngebäudeversicherung;ZUGFeRD_1p0_COMFORT_Sachversicherung_berechneter_Steuersatz.pdf
;;;Trennblätter A4;ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;Joghurt Banane;ZUGFeRD_1p0_COMFORT_SEPA_Prenotification.pdf
;;;Wirkarbeit HT;ZUGFeRD_1p0_EXTENDED_Kostenrechnung.pdf
;;;Ökosteuer Lieferant;ZUGFeRD_1p0_EXTENDED_Kostenrechnung.pdf
;;;Kommissionierer 1250032 D. Muster;ZUGFeRD_1p0_EXTENDED_Kostenrechnung.pdf
;;;FALTENBEUTEL 16x6x28 CM;ZUGFeRD_1p0_EXTENDED_Kostenrechnung.pdf
;;;Kopierpapier A4;ZUGFeRD_1p0_EXTENDED_Kostenrechnung.pdf
;;;Zitronensäure 100ml;ZUGFeRD_1p0_EXTENDED_Rechnungskorrektur.pdf
;;;Gelierzucker Extra 250g;ZUGFeRD_1p0_EXTENDED_Rechnungskorrektur.pdf
;;;Zitronensäure 100ml;ZUGFeRD_1p0_EXTENDED_Warenrechnung.pdf
;;;Gelierzucker Extra 250g;ZUGFeRD_1p0_EXTENDED_Warenrechnung.pdf
;;;Bierbrau Pils 20/0500;ZUGFeRD_1p0_EXTENDED_Warenrechnung.pdf
;;;Leergutpfand 20 x 0,5l;ZUGFeRD_1p0_EXTENDED_Warenrechnung.pdf
;;;Mischpalette Joghurt Karton 3 x 20;ZUGFeRD_1p0_EXTENDED_Warenrechnung.pdf
